High,Low,Volume,Open,Close,Return,SMA_20,RSI
SOXX,SOXX,SOXX,SOXX,SOXX,,,
58.12878937027182,57.41826908972807,1403400,57.50552340101701,58.00725173950195,0.00872487213073643,57.55267105102539,46.07036769342086
57.412030150618534,56.47089908197424,1998600,57.072349638272215,56.51764678955078,-0.009719292305944498,57.389064979553225,38.4221857881296
56.975749316039746,56.01903678387526,2267400,56.371181717870336,56.89784240722656,0.009342729268868054,57.24897174835205,43.281550466728724
57.05989170015501,56.60802448449165,802200,57.05989170015501,56.69216537475586,-0.006444567531454937,57.08073749542236,44.35589506782223
56.994448525991686,56.567513666524334,612600,56.7731886220872,56.6142578125,-0.0027993990375479137,56.911247444152835,52.60523130113249
57.4463183065788,56.14369474221968,4140600,56.23406961489575,57.42761993408203,0.021224683316715204,56.81130809783936,55.7185691556536
57.96985470943262,57.49617217632603,923400,57.6862693007213,57.87013244628906,0.0031872947894979204,56.7661039352417,66.92501229069666
57.9760834317026,57.36528547934264,871500,57.75794054164204,57.74235916137695,-0.00026977035744298945,56.70038051605225,64.18187782131065
57.79222698882893,57.17831197600167,871800,57.68315731433363,57.47124481201172,-0.0036737327183241834,56.65774784088135,61.5903563342573
57.645765293685535,56.433516550783416,1001100,57.17519967062621,57.54916000366211,0.00654060388403013,56.642147636413576,60.294713739606564
58.188001770182844,56.84174755504834,1884000,57.90752976446336,56.92277145385742,-0.017005704001041084,56.680322074890135,63.39179360505009
57.1876558758189,56.16862142522057,10230000,56.89784004724489,57.13779830932617,0.0042173527480486505,56.71927604675293,56.21646559452062
58.290826397032696,57.517980732262245,7296300,57.517980732262245,58.25343322753906,0.012786479739270416,56.88132438659668,58.93905514058708
58.817503526344495,57.567858044094166,5193300,58.293959776391354,57.99479293823242,-0.005132038367379747,57.00956134796142,54.43573857527608
58.12879285413634,57.14403448952251,2500200,57.969862037438645,57.42761993408203,-0.009353862236318898,57.10367431640625,45.654234395118685
58.614929323576675,57.704961045862426,2271000,57.81091728221729,57.80780029296875,-5.3916965775220725e-05,57.19934520721436,61.60313985961204
58.328230896726375,57.47435766852465,3727800,57.86389932497986,57.723663330078125,-0.0024235489923368635,57.34176158905029,57.84487382046413
58.36563745784821,56.99757129540551,2253300,57.2032498381746,58.29084396362305,0.0190128030929222,57.439146995544434,64.21061126611174
58.46534689345838,58.05399346465134,1344300,58.32822789507293,58.41236877441406,0.0014425413282312693,57.508016967773436,65.86037497139935
58.773873521801995,57.985442728286394,777900,58.300190934468546,58.764522552490234,0.007964495665950967,57.57626476287842,62.83667514726275
59.26936848563647,58.82061824572037,9879900,59.048108572304606,59.231971740722656,0.0031137859088730805,57.63750076293945,63.01379251013769
59.490621283432674,59.00759488357093,1116600,59.24131917581354,59.36908721923828,0.002156738661500101,57.78007278442383,65.51737438530839
59.18834528504452,58.770757805483754,2218800,59.10420439116474,58.78322219848633,-0.005430784425319103,57.874341773986814,61.806033751827066
57.81715661857032,57.05365823399086,3248100,57.56473396128556,57.32477569580078,-0.004168494301496493,57.90597229003906,48.38267973478818
57.90753550360169,57.340364589376904,1687500,57.42762247610766,57.4089241027832,-0.000325598945563764,57.945705604553225,53.801229593766365
57.83586319649693,57.246876912587226,1609500,57.745488318836145,57.29362106323242,-0.007825152557525908,57.93900566101074,51.23768016172742
57.03806474859136,55.91619119483005,3067800,56.80122707444447,56.49894332885742,-0.005321781960640922,57.87044620513916,35.315606747434785
56.95082800919582,56.27458382632006,1419900,56.87291752380359,56.427284240722656,-0.007835597371884691,57.80469245910645,36.45667095794351
56.15615230411995,55.17139405929468,2195400,55.92554501529463,56.006568908691406,0.0014487814714119766,57.73145866394043,37.40327247101724
56.2870362777275,55.32720689437938,957300,56.084474777679546,55.956703186035156,-0.0022781989516863586,57.65183582305908,32.57050044251348
57.19701536661539,56.12188207764477,2549100,56.134346471125134,57.04743194580078,0.01626607473100854,57.65806884765625,44.64738634716653
57.390227245818366,56.579984589667674,1440300,56.92901257946261,57.31543731689453,0.006787834882829635,57.66695079803467,41.895463244527875
57.80468839464286,57.287378722568114,1847700,57.287378722568114,57.38086700439453,0.0016319176040356653,57.62332248687744,41.34873060197544
58.244091534687286,57.62705956042872,1685100,57.63641052905286,58.212928771972656,0.010002674310003918,57.634229278564455,45.71841764119595
59.577876550485364,58.55883853830307,17873700,58.68661014247913,59.13847732543945,0.007699664060733432,57.71977214813232,49.32246205936813
59.62151409753307,58.792569552431814,1616100,59.45323230991439,59.36597442626953,-0.0014676726605881874,57.79768085479736,49.97773380325196
59.7056527142152,59.15718021363001,4280400,59.36597216209747,59.52178955078125,0.0026246919406680198,57.88758716583252,55.62940826533941
59.60904852647166,58.90787557208412,1811400,59.38467517822369,58.9889030456543,-0.006664549926081272,57.92249011993408,64.76771637816697
59.40026563798082,58.90477114906789,1099800,58.90477114906789,59.30989074707031,0.006877534537519927,57.967366218566895,66.18896169502207
59.81160328366312,58.967080984177485,1289700,59.094849027240166,59.78667449951172,0.011707035108130178,58.01847381591797,69.99990819258747
59.89262110753389,58.99512077481147,1579500,59.73057332793522,59.496849060058594,-0.00391297546389555,58.031717681884764,76.16973835023519
